sub_id,first_name,last_name,Street,Birth_date,Gender,Phone,Country,City,Zip Code,Subgrp_id,Elig_ind,eff_date,term_date
SUBID10000,Harbir,Vishwakarma,Baria Marg,30-06-1924,Female,+91 0112009318,India,Rourkela,767058,S107,Y,30-06-1944,14-01-1954
SUBID10001,Brahmdev,Sonkar,Lala Marg,20-12-1948,Female,+91 1727749552,India,Tiruvottiyur,34639,S105,Y,20-12-1968,16-05-1970
SUBID10002,Ujjawal,Devi,Mammen Zila,16-04-1980,Male,+91 8547451606,India,Berhampur,914455,S106,N,16-04-2000,04-05-2008
SUBID10003,Ballari,Mishra,Sahni Zila,25-09-1969,Female,+91 0106026841,India,Bihar Sharif,91481,S104,N,25-09-1989,05-06-1995
SUBID10004,Devnath,Srivastav,Magar Zila,01-05-1946,Female,+91 1868774631,India,Bidhannagar,531742,S110,N,01-05-1966,09-12-1970
SUBID10005,Atasi,Seth,Khatri Nagar,02-10-1967,Male,+91 9747336855,India,Amravati,229062,S104,Y,02-10-1987,13-02-1995
SUBID1006,Manish,Maurya,Swaminathan Chowk,06-06-1967,Male,+91 4354294043,India,Panvel,438733,S109,,06-06-1987,21-03-1995
SUBID10007,Aakar,Yadav,Swamy,05-03-1925,Female,+91 2777633911,India,Bihar Sharif,535907,S104,N,05-03-1945,07-11-1946
SUBID10008,Gurudas,Gupta,Sarin Nagar,06-05-1945,Male,+91 1232859381,India,Kamarhati,933226,S103,Y,06-05-1965,16-09-1970
SUBID10009,,Gupta,Thakur Circle,12-06-1925,Male,+91 1780763280,India,Bangalore,957469,S105,Y,12-06-1945,30-08-1953
SUBID1010,,Divedi,Dhillon,03-02-1976,Male,+91 5586075345,India,Rajkot,911319,S102,Y,03-02-1996,27-01-2002
SUBID10011,,Vishwakarma,Rajagopalan,22-01-1955,Female,+91 4146391938,India,Ghaziabad,337042,S106,N,22-01-1975,02-11-1978
SUBID10012,Dharmadaas,Tiwari,Rama,29-04-1964,Male,+91 6345482027,India,Bhalswa Jahangir Pur,430793,S103,N,29-04-1984,07-02-1988
SUBID10013,Brahmvir,Rai,Shah Path,11-11-1991,Male,+91 7316972612,India,Ambala,249898,S106,N,11-11-2011,23-05-2020
SUBID10014,,Srivastav,Chandra Path,25-01-1981,Female,+91 2960004518,India,Surendranagar Dudhrej,111966,S102,N,25-01-2001,13-07-2005
SUBID10015,Bhagvan,Srivastav,Edwin,24-07-1966,Female,+91 0297693485,India,Bhimavaram,436513,S105,Y,24-07-1986,04-02-1988
SUBID10016,Amritkala,Srivastav,Guha Path,20-11-1933,Female,+91 0537157280,India,Meerut,863467,S106,Y,20-11-1953,29-07-1955
SUBID10017,Bandhu,Seth,Varughese,15-10-1996,Male,+91 0695289163,India,Chinsurah,136713,S108,N,15-10-2016,08-06-2018
SUBID10018,Bhagavaana,Kumar,Kulkarni Zila,16-09-1935,Female,+91 6071745855,India,Shahjahanpur,597276,S101,N,16-09-1955,31-05-1958
SUBID10019,,Maurya,Sharaf Nagar,09-11-1924,Female,+91 8906694405,India,Jabalpur,958538,S104,N,09-11-1944,14-10-1951
SUBID1020,Umang,Srivastav,Balay Chowk,14-07-1963,Female,+91 9485838770,India,Haridwar,181692,S109,Y,14-07-1983,15-01-1986
SUBID1021,Darsana,Yadav,Upadhyay Zila,29-05-1932,Male,+91 7676311811,India,Dibrugarh,187414,S109,Y,29-05-1952,14-10-1953
SUBID10022,Prakash,Rao,Sachar,15-09-1923,Female,+91 9268324471,India,Kottayam,180680,,N,15-09-1943,19-10-1948
SUBID10023,Vaijayanti,Pratap,Khalsa Nagar,13-11-1920,Male,+91 9358851649,India,Mira-Bhayandar,419190,S102,Y,13-11-1940,10-03-1946
SUBID10024,Menakshi,Seth,Wable Street,06-03-1987,Male,+91 0531676556,India,Kamarhati,882577,S107,N,06-03-2007,25-02-2014
SUBID10025,,Tiwari,Sha Chowk,24-12-1955,Male,+91 2416747182,India,Karimnagar,567762,S106,N,24-12-1975,03-02-1983
SUBID10026,Ekant,Sonkar,Walla Road,13-08-1943,Male,+91 7686951174,India,Berhampore,948589,S110,Y,13-08-1963,29-05-1967
SUBID10027,Chancharik,Pandey,Karan Ganj,05-09-1983,Male,+91 5309364825,India,Chapra,154667,S109,N,05-09-2003,12-06-2011
SUBID10028,Pushti,Pandit,Deol Path,15-10-1935,Female,+91 7093722203,India,Morbi,284168,S106,N,15-10-1955,04-06-1959
SUBID10029,Swati,Seth,Kant Marg,11-12-1987,Female,+91 1028477510,India,Amravati,932221,S102,N,11-12-2007,17-10-2011
SUBID1030,Upasana,Pandey,Seth Chowk,01-06-1956,Male,+91 0548234943,India,Hyderabad,234823,S102,N,01-06-1976,14-02-1981
SUBID10031,Kanhaiya,Lal,Savant Nagar,19-10-1954,Female,+91 0788738026,India,Mysore,638433,S104,Y,19-10-1974,03-01-1977
SUBID1032,,Seth,Sandhu Chowk,02-07-1968,Female,+91 2599794460,India,Gwalior,611826,S110,N,02-07-1988,14-03-1991
SUBID10033,Gensho,Srivastav,Korpal Ganj,06-06-1992,Male,+91 4834040556,India,Ludhiana,835018,S101,N,06-06-2012,09-01-2022
SUBID1034,Gopal,Das,Saini,14-05-1986,Male,+91 1181471524,India,Raebareli,176221,S101,N,14-05-2006,08-04-2011
SUBID10035,Dheeman,Tiwari,Dube Marg,04-05-1945,Male,+91 8239321466,India,Mysore,811970,S101,Y,04-05-1965,13-11-1973
SUBID1036,Upasana,Thakur,Vasa Ganj,03-10-1927,Female,,India,Ratlam,326733,S108,N,03-10-1947,20-02-1951
SUBID1037,,Rajput,Shere Chowk,10-11-1948,Male,+91 8390195092,India,Vadodara,877443,S101,Y,10-11-1968,25-12-1973
SUBID1038,,Thakur,Rastogi Street,07-04-1955,Female,+91 7434031446,India,Vijayawada,438940,S104,,07-04-1975,25-01-1982
SUBID10039,Madhubala,Yadav,Sangha Marg,11-01-1937,Male,+91 8498685882,India,Jaunpur,624102,S104,Y,11-01-1957,09-10-1965
SUBID10040,Anjushree,Pandey,Vora Ganj,04-07-1976,Male,+91 5322869455,India,Ghaziabad,782221,S105,N,04-07-1996,17-02-1999
SUBID1041,,Rajput,Sinha Path,25-11-1930,Female,,India,Agartala,303503,S110,Y,25-11-1950,14-09-1957
SUBID10042,Chakrika,Sonkar,Bansal Circle,05-08-1964,Male,+91 8185162879,India,Ranchi,503290,S108,Y,05-08-1984,09-09-1992
SUBID1043,Saroj,Pandit,Sathe Zila,26-08-1942,Female,+91 5690408243,India,Muzaffarpur,130486,S103,Y,26-08-1962,29-08-1964
SUBID1044,Ayushmati,Vishwakarma,Balakrishnan Street,20-09-1932,Male,+91 3683223970,India,Satna,131247,S108,N,20-09-1952,24-01-1961
SUBID1045,Drashti,Divedi,Wadhwa,03-07-1926,Male,+91 9447269993,India,Saharsa,581568,S104,Y,03-07-1946,27-11-1952
SUBID10046,Aayushmaan,Maurya,Johal Nagar,14-11-1983,Female,+91 4464709769,India,Mehsana,987281,S104,Y,14-11-2003,22-10-2012
SUBID1047,,Rai,Sagar Chowk,04-02-1931,Male,+91 2973105946,India,Shivpuri,794170,S109,Y,04-02-1951,14-07-1955
SUBID10048,Chitranjan,Mishra,Madan Nagar,09-09-1925,Female,+91 5176024720,India,Morbi,945697,S108,N,09-09-1945,21-06-1952
SUBID10049,Paridhi,Yadav,Sant Path,27-03-1959,Female,+91 2139280879,India,Jabalpur,883754,,N,27-03-1979,01-06-1985
SUBID10050,Deependu,Gupta,Banik Ganj,13-02-1952,Female,+91 5674176644,India,Bareilly,417855,S102,Y,13-02-1972,23-08-1976
SUBID10051,,Rajput,Chauhan Chowk,17-10-1946,Male,+91 9887324437,India,Baranagar,765234,S103,Y,17-10-1966,26-06-1969
SUBID10052,Laksman,Rao,Sood Marg,26-05-1939,Female,+91 4504120828,India,Ahmednagar,117923,S101,Y,26-05-1959,07-11-1960
SUBID10053,,Sonkar,Shetty Marg,27-06-1988,Male,+91 6877897646,India,Pali,383290,S102,Y,27-06-2008,30-10-2016
SUBID10054,Shivakari,Pratap,Dugar Road,02-11-1944,Female,+91 3740484063,India,Hapur,28202,S104,N,02-11-1964,15-06-1967
SUBID10055,Madhu,Thakur,Sule Marg,23-10-1984,Male,+91 8367885507,India,Udaipur,565423,S107,N,23-10-2004,10-07-2008
SUBID10056,Chanak,Gupta,Shetty Nagar,27-08-1954,Male,+91 5093121123,India,Jalandhar,602989,S105,N,27-08-1974,15-06-1982
SUBID10057,Chittesh,Pandey,Mangal Chowk,17-10-1949,Male,+91 1378163498,India,Thoothukudi,666415,S109,Y,17-10-1969,08-10-1975
SUBID1058,Nawal,Rajput,Deol Nagar,22-01-1940,Male,+91 1885105576,India,Bhopal,791168,S106,N,22-01-1960,18-04-1969
SUBID10059,Gajabahu,Singh,Kara,15-03-1959,Male,+91 1207869436,India,Udupi,637221,S101,Y,15-03-1979,05-07-1986
SUBID10060,Jitesh,Vishwakarma,Gopal Path,03-02-1983,Male,+91 6515468035,India,Karimnagar,124564,S110,Y,03-02-2003,30-04-2008
SUBID10061,,Rajput,Anand Path,25-09-1966,Female,+91 6477918745,India,Kharagpur,934938,S103,,25-09-1986,03-06-1991
SUBID1062,Lalit,Mishra,Comar Street,15-02-1924,Female,+91 4647833992,India,Tinsukia,963770,S103,N,15-02-1944,28-09-1947
SUBID1063,Anshuk,Srivastav,Sridhar Path,17-06-1991,Male,+91 9764690642,India,Uluberia,270985,S105,N,17-06-2011,11-07-2014
